OBJECTID,year,quarter,light_desc,light_code,county_des,county_no,muni_desc,muni_code,junction_d,junction_c,collision_,collisio_2,surf_cond_,surf_con_2,lane_code,rd_cond_de,rd_cond_co,rd_div_des,rd_div_cod,fix_obj_de,fix_obj_co,report_no,report_typ,weather_de,weather_co,acc_date,acc_time,loc_code,signal_fla,signal_f_2,c_m_zone_f,agency_cod,area_code,harm_event,harm_eve_2,harm_eve_3,harm_eve_4,rte_no,route_type,rte_suffix,log_mile,logmile_di,logmile__2,mainroad_n,distance,feet_miles,feet_mil_2,distance_d,reference_,referenc_2,referenc_3,referenc_4,latitude,longitude,crashdate,date,Field1,x,y
1243,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection Related,3,Same Direction Rear End,3,Wet,1,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE0188006P,Property Damage Crash,Raining,3,20220207,6/23/2023 3:33:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,2160,MU,,0.13,West,W,PHILADELPHIA AVE,15,Feet,F,E,775,MU,,N DIVISION ST,38.3736,-75.59591,20220207,2/7/2022 12:00:00 AM,,-75.5959105748132,38.373598701419
1244,2022,Q1,Daylight,1,Wicomico,22,,133,Not Applicable,0,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,MSP6758006J,Property Damage Crash,Not Applicable,0,20220202,6/23/2023 4:49:00 PM,,No,N,N,MSP,UNK,Other Vehicle,1,Not Applicable,0,2422,MU,,0,South,S,RIVERSIDE DR #2,0,Feet,F,N,1780,MU,,MILL ST,38.36409,-75.60407,20220202,2/2/2022 12:00:00 AM,,-75.6040735294698,38.3640845396698
1245,2022,Q1,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Head On Left Turn,2,Dry,2,1,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE6133002L,Injury Crash,,6.01,20220108,6/23/2023 9:42:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,50,US,BU,4.392,East,E,E SALISBURY PKWY,0,Feet,F,E,1632,MU,,E MAIN ST,38.36921,-75.58108,20220108,1/8/2022 12:00:00 AM,,-75.5810802596462,38.3692058828453
1246,2022,Q1,Daylight,1,Wicomico,22,,133,,9.04,Same Direction Rear End,3,Wet,1,1,Not Applicable,0,"Two-way, Not Divided",1,Not Applicable,0,DE3135000C,Injury Crash,Raining,3,20220309,6/23/2023 3:17:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,4.17,North,N,S SALISBURY BLVD,500,Feet,F,S,631,MU,,W COLLEGE AVE,38.35066,-75.60178,20220309,3/9/2022 12:00:00 AM,,-75.6017759999624,38.350657999667
1247,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection,2,Other,88,Dry,2,1,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE1164000H,Injury Crash,,6.01,20220307,6/23/2023 7:34:00 AM,,Yes,Y,N,SALISBURY,UNK,Pedestrian,3,Not Applicable,0,630,MU,,0.49,West,W,E COLLEGE AVE,0,Feet,F,W,0,UU,,JAMES M. BENNETT HIGH SCHOOL,38.34792,-75.59332,20220307,3/7/2022 12:00:00 AM,,-75.5933222468242,38.3479143650559
1248,2022,Q1,Daylight,1,Wicomico,22,,133,Non Intersection,1,Opposite Direction Sideswipe,6,Snow,3,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE117000BM,Property Damage Crash,Blowing Snow,10.04,20220103,6/23/2023 1:50:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,5.06,North,N,S SALISBURY BLVD,50,Feet,F,S,768,MU,,S DIVISION ST,38.35975,-75.59734,20220103,1/3/2022 12:00:00 AM,,-75.5973408853735,38.3597524837901
1249,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE1109003C,Injury Crash,,6.01,20220211,6/23/2023 12:22:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,6.73,North,N,N SALISBURY BLVD,0,Feet,F,N,1483,MU,,LIBERTY ST #3,38.38157,-75.58646,20220211,2/11/2022 12:00:00 AM,,-75.5864665511904,38.3815676075591
1250,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection,2,Single Vehicle,17,Snow,3,1,No Defects,1,"Two-way, Not Divided",1,Curb,4,DE31350002,Property Damage Crash,,8.04,20220103,6/23/2023 3:35:00 PM,,Yes,Y,N,SALISBURY,UNK,Fixed Object,9,Not Applicable,0,1897,MU,,1.21,South,S,E NAYLOR MILL RD,0,Feet,F,S,406,CO,,ZION RD,38.39484,-75.56266,20220103,1/3/2022 12:00:00 AM,,-75.5626627727687,38.3948453187565
1251,2022,Q1,Daylight,1,Wicomico,22,,133,Non Intersection,1,Single Vehicle,17,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Sign Support Pole,9,DE6197002G,Property Damage Crash,,6.01,20220227,6/23/2023 4:06:00 PM,22,No,N,N,SALISBURY,UNK,Off Road,16,Fixed Object,9,370,MU,,0.57,South,S,CAMDEN AVE,0,Feet,F,N,2840,MU,,VIRGINIA AVE,38.35564,-75.606,20220227,2/27/2022 12:00:00 AM,,-75.6059957799812,38.3556428725206
1252,2022,Q1,,6.02,Wicomico,22,,133,Not Applicable,0,Single Vehicle,17,Wet,1,2,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Not Applicable,0,DE4112000J,Property Damage Crash,Raining,3,20220102,6/23/2023 7:16:00 AM,,No,N,N,SALISBURY,UNK,Other,88,Not Applicable,0,2290,MU,,0.03,South,S,PRISCILLA ST,50,Feet,F,S,1130,MU,,HAMMOND ST,38.38365,-75.58288,20220102,1/2/2022 12:00:00 AM,,-75.5828809182198,38.3836534825223
