OBJECTID,year,quarter,light_desc,light_code,county_des,county_no,muni_desc,muni_code,junction_d,junction_c,collision_,collisio_2,surf_cond_,surf_con_2,lane_code,rd_cond_de,rd_cond_co,rd_div_des,rd_div_cod,fix_obj_de,fix_obj_co,report_no,report_typ,weather_de,weather_co,acc_date,acc_time,loc_code,signal_fla,signal_f_2,c_m_zone_f,agency_cod,area_code,harm_event,harm_eve_2,harm_eve_3,harm_eve_4,rte_no,route_type,rte_suffix,log_mile,logmile_di,logmile__2,mainroad_n,distance,feet_miles,feet_mil_2,distance_d,reference_,referenc_2,referenc_3,referenc_4,latitude,longitude,crashdate,date,Field1,x,y
466,2021,Q4,,6.02,Wicomico,22,,133,Intersection,2,Head On Left Turn,2,Dry,2,2,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,MSP7057003W,Injury Crash,,6.01,20211101,6/23/2023 4:09:00 PM,,Yes,Y,N,MSP,UNK,Other Vehicle,1,Other Vehicle,1,13,US,,12.55,North,N,N SALISBURY BLVD,0,Feet,F,N,3070,MU,,N ZION RD,38.39281,-75.5745,20211101,11/1/2021 12:00:00 AM,,-75.5744973652612,38.392811478567
467,2021,Q4,,5.02,Wicomico,22,,133,Non Intersection,1,Same Direction Sideswipe,7,Wet,1,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE71910067,Property Damage Crash,Raining,3,20211026,6/23/2023 7:35:00 AM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,740,MU,,0.36,South,S,DAVIS ST,250,Feet,F,N,1632,MU,,E MAIN ST,38.36628,-75.5873,20211026,10/26/2021 12:00:00 AM,,-75.5872988215833,38.3662808405884
468,2021,Q4,,6.02,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Wet,1,0,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE1143000Z,Injury Crash,Raining,3,20211029,6/23/2023 6:47:00 AM,,Yes,Y,N,SALISBURY,UNK,Bicycle,4,Not Applicable,0,349,MD,,22.32,East,E,NANTICOKE RD,0,Feet,F,E,50,US,BU,W SALISBURY PKWY,38.36952,-75.61459,20211029,10/29/2021 12:00:00 AM,,-75.614594366237,38.3695188253336
469,2021,Q4,Daylight,1,Wicomico,22,,133,Intersection,2,Head On Left Turn,2,Dry,2,0,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE6147001Y,Property Damage Crash,,7.01,20211231,6/23/2023 2:40:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,630,MU,,0.86,West,W,E COLLEGE AVE,0,Feet,F,W,828,MU,,EASTERN SHORE DR,38.34806,-75.59779,20211231,12/31/2021 12:00:00 AM,,-75.5977856684738,38.3480597557532
470,2021,Q4,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE2153002Y,Property Damage Crash,,6.01,20211215,6/23/2023 10:27:00 AM,,Yes,Y,Y,SALISBURY,UNK,Other Vehicle,1,Other Vehicle,1,13,US,BU,5.27,North,N,S SALISBURY BLVD,0,Feet,F,N,415,MU,,E CARROLL ST,38.36322,-75.59612,20211215,12/15/2021 12:00:00 AM,,-75.5961178316725,38.3632166489293
471,2021,Q4,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Sideswipe,7,Dry,2,3,Other,88,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE41150075,Property Damage Crash,,6.01,20211116,6/23/2023 9:23:00 AM,DE 8270,Yes,Y,Y,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,50,US,BU,6.259,East,E,E SALISBURY PKWY,0,Feet,F,E,290,CO,,TILGHMAN RD,38.36665,-75.54613,20211116,11/16/2021 12:00:00 AM,,-75.5461302945774,38.3666447296706
472,2021,Q4,,7.88,Wicomico,22,,133,Non Intersection,1,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Guardrail or Barrier,5,MSP6929004B,Injury Crash,Unknown,99,20211022,6/23/2023 4:15:00 AM,,No,N,N,MSP,UNK,Other Vehicle,1,Fixed Object,9,50,US,,13.186,East,E,SALISBURY BYPASS,1,Miles,M,E,50,US,UA,NAYLOR MILL RD,38.40462,-75.60755,20211022,10/22/2021 12:00:00 AM,,-75.6075541243233,38.404622227334
473,2021,Q4,Daylight,1,Wicomico,22,,133,Intersection,2,Head On Left Turn,2,Dry,2,1,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Not Applicable,0,DE61870022,Property Damage Crash,,6.01,20211020,6/23/2023 3:31:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,1330,MU,,0.41,East,E,W ISABELLA ST,0,Feet,F,E,2950,MU,,WEST RD,38.37151,-75.60711,20211020,10/20/2021 12:00:00 AM,,-75.6071057232505,38.3715129091935
474,2021,Q4,Daylight,1,Wicomico,22,,133,Intersection,2,Head On Left Turn,2,Dry,2,0,No Defects,1,Other,88,Not Applicable,0,DE1143000W,Injury Crash,,7.01,20211013,6/23/2023 5:08:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,2422,MU,,0.33,South,S,RIVERSIDE DR #2,0,Feet,F,S,2990,MU,,WICOMICO ST,38.3604,-75.6076,20211013,10/13/2021 12:00:00 AM,,-75.6076056581745,38.3604063799505
475,2021,Q4,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE41130048,Property Damage Crash,,6.01,20211109,6/23/2023 9:25:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,1330,MU,,0.36,East,E,W ISABELLA ST,0,Feet,F,E,432,MU,,CATHERINE ST #2,38.37092,-75.60925,20211109,11/9/2021 12:00:00 AM,,-75.6092499615165,38.3709185517498
476,2021,Q4,Daylight,1,Wicomico,22,,133,Intersection Related,3,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE2153002R,Property Damage Crash,,6.01,20211113,6/23/2023 11:11:00 AM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Other Vehicle,1,13,US,BU,5.27,North,N,S SALISBURY BLVD,100,Feet,F,N,415,MU,,E CARROLL ST,38.36362,-75.59603,20211113,11/13/2021 12:00:00 AM,,-75.5960320003765,38.3636151852926
477,2021,Q4,Daylight,1,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,3,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Curb,4,DE2183006X,Property Damage Crash,,6.01,20211001,6/23/2023 9:53:00 AM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Fixed Object,9,50,US,BU,3.074,East,E,W SALISBURY PKWY,0,Feet,F,E,1430,MU,,LAKE ST,38.36633,-75.60504,20211001,10/1/2021 12:00:00 AM,,-75.6050380865384,38.3663325444114
478,2021,Q4,Daylight,1,Wicomico,22,,133,Non Intersection,1,Single Vehicle,17,Dry,2,0,Not Applicable,0,"Two-way, Not Divided",1,,22.03,DE1179000B,Property Damage Crash,,6.01,20211007,6/23/2023 5:08:00 PM,22,No,N,N,SALISBURY,UNK,Fixed Object,9,Not Applicable,0,1960,MU,,0,South,S,OAK ST,50,Feet,F,S,310,MU,,BUENA VISTA AVE,38.36336,-75.59332,20211007,10/7/2021 12:00:00 AM,,-75.5933251957012,38.3633558522908
479,2021,Q4,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,2,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Not Applicable,0,DE2186007D,Injury Crash,,6.01,20211215,6/23/2023 4:51:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,6.86,North,N,N SALISBURY BLVD,0,Feet,F,N,1270,MU,,HOMER ST,38.38283,-75.58479,20211215,12/15/2021 12:00:00 AM,,-75.5847951539731,38.3828261601992
480,2021,Q4,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Wet,1,1,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Not Applicable,0,DE117000BK,Property Damage Crash,Raining,3,20211229,6/23/2023 6:56:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,124,MU,,3.28,South,S,BEAGLIN PARK DR,0,Feet,F,S,2050,MU,,N PARK DR EXT,38.35332,-75.5721,20211229,12/29/2021 12:00:00 AM,,-75.5721012979365,38.3533227178692
481,2021,Q4,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE11430017,Property Damage Crash,,6.01,20211130,6/23/2023 4:05:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Other Vehicle,1,2167,MU,,0.25,North,N,PHILLIP MORRIS DR,0,Feet,F,N,50,US,BU,E SALISBURY PKWY,38.36583,-75.55347,20211130,11/30/2021 12:00:00 AM,,-75.5534718102758,38.3658284267406
482,2022,Q1,Daylight,1,Wicomico,22,,133,,9.04,Same Movement Angle,11,Dry,2,1,No Defects,1,Not Applicable,0,Not Applicable,0,DE2149001V,Property Damage Crash,,6.01,20220209,6/23/2023 7:58:00 AM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,45,MU,,0.27,East,E,ARLINGTON RD,20,Feet,F,W,13,US,BU,N SALISBURY BLVD,38.38689,-75.5805,20220209,2/9/2022 12:00:00 AM,,-75.5804945959488,38.3868852538515
483,2022,Q1,Dark Lights On,3,Wicomico,22,,133,Non Intersection,1,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE2149001S,Property Damage Crash,,6.01,20220113,6/23/2023 5:49:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,6.02,North,N,N SALISBURY BLVD,75,Feet,F,N,2010,MU,,OLIVE ST,38.37362,-75.59296,20220113,1/13/2022 12:00:00 AM,,-75.5929567416603,38.3736167634029
484,2022,Q1,,6.02,Wicomico,22,,133,Non Intersection,1,Same Direction Left Turn,9,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE2186007Z,Property Damage Crash,,6.01,20220319,6/23/2023 7:23:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,2290,MU,,0.1,South,S,PRISCILLA ST,200,Feet,F,N,400,MU,,CAROLINE ST,38.38355,-75.58154,20220319,3/19/2022 12:00:00 AM,,-75.5815335881045,38.3835494264649
485,2020,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE1137004M,Property Damage Crash,,6.01,20200516,6/23/2023 12:10:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,4.17,North,N,S SALISBURY BLVD,0,Feet,F,N,631,MU,,W COLLEGE AVE,38.34978,-75.60191,20200516,5/16/2020 12:00:00 AM,,-75.6019121213473,38.3497783098212
486,2022,Q1,Dark Lights On,3,Wicomico,22,,133,Non Intersection,1,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,MSP71990042,Property Damage Crash,Not Applicable,0,20220310,6/23/2023 7:08:00 PM,,No,N,N,MSP,UNK,Other Vehicle,1,Other Vehicle,1,50,US,,13.186,East,E,SALISBURY BYPASS,2,Miles,M,W,50,US,UA,NAYLOR MILL RD,38.40453,-75.59807,20220310,3/10/2022 12:00:00 AM,,-75.5980660662959,38.4045331503846
487,2022,Q1,,6.02,Wicomico,22,,133,Intersection,2,Other,88,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE1143001L,Injury Crash,,7.01,20220202,6/23/2023 4:48:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,2125,MU,,0.14,West,W,PEMBERTON DR,0,Feet,F,W,2095,MU,,PARSONS RD,38.36745,-75.6178,20220202,2/2/2022 12:00:00 AM,,-75.6177963897915,38.3674513388083
488,2022,Q1,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Snow,3,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,MSP7047003W,Property Damage Crash,,8.04,20220122,6/23/2023 1:22:00 AM,,Yes,Y,N,MSP,UNK,Other Vehicle,1,Not Applicable,0,1632,MU,,0.29,East,E,E MAIN ST,0,Feet,F,E,13,US,BU,N SALISBURY BLVD,38.36584,-75.59557,20220122,1/22/2022 12:00:00 AM,,-75.5955716670987,38.3658433330035
489,2022,Q1,Daylight,1,Wicomico,22,,133,,11.04,Same Movement Angle,11,Ice,4,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE2158007X,Property Damage Crash,,6.01,20220131,6/23/2023 8:56:00 AM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Other Vehicle,1,1340,MU,,0.33,South,S,JACKSON ST,75,Feet,F,N,1500,MU,,E LINCOLN AVE,38.35543,-75.59337,20220131,1/31/2022 12:00:00 AM,,-75.593366429617,38.3554284714468
490,2022,Q1,Dark Lights On,3,Wicomico,22,,133,Not Applicable,0,Other,88,Dry,2,2,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Not Applicable,0,DE3129005H,Injury Crash,Not Applicable,0,20220114,6/23/2023 5:28:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,4.17,North,N,S SALISBURY BLVD,200,Feet,F,N,631,MU,,W COLLEGE AVE,38.35795,-75.59846,20220114,1/14/2022 12:00:00 AM,,-75.598458413525,38.3579479662257
491,2022,Q1,Dark Lights On,3,Wicomico,22,,133,Non Intersection,1,Single Vehicle,17,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Other Pole,10,DE7191006N,Property Damage Crash,,6.01,20220210,6/23/2023 3:38:00 AM,,No,N,N,SALISBURY,UNK,Fixed Object,9,Not Applicable,0,1555,MU,,0.05,West,W,E LOCUST ST,0,Feet,F,W,2230,MU,,POPLAR ST,38.36087,-75.59081,20220210,2/10/2022 12:00:00 AM,,-75.5908091624129,38.3608736335114
492,2022,Q1,,6.02,Wicomico,22,,133,Not Applicable,0,Single Vehicle,17,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Light Support Pole,8,DE3196000C,Property Damage Crash,,6.01,20220302,6/23/2023 5:54:00 PM,,No,N,N,SALISBURY,UNK,Fixed Object,9,Not Applicable,0,1710,MU,,0.2,West,W,MARYLAND AVE,10,Feet,F,W,2570,MU,,SMITH ST,38.35875,-75.60245,20220302,3/2/2022 12:00:00 AM,,-75.6024451306382,38.3587476307986
493,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE413900C2,Injury Crash,,6.01,20220310,6/23/2023 1:38:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,3075,MU,,0,East,E,JOHNSON RD,0,Feet,F,E,12,MD,,SNOW HILL RD,38.34702,-75.58168,20220310,3/10/2022 12:00:00 AM,,-75.5816774346658,38.3470137201072
494,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE4115007B,Property Damage Crash,,6.01,20220207,6/23/2023 12:18:00 PM,DE 8270,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,520,MU,,0.29,West,W,E CHURCH ST,0,Feet,F,W,2290,MU,,PRISCILLA ST,38.37302,-75.58088,20220207,2/7/2022 12:00:00 AM,,-75.5808828809402,38.373021156801
495,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection,2,Head On Left Turn,2,Dry,2,2,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Not Applicable,0,DE5156001Z,Property Damage Crash,,6.01,20220307,6/23/2023 2:02:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,631,MU,,0,West,W,W COLLEGE AVE,0,Feet,F,W,765,MU,,DIVISION ST S,38.34794,-75.59773,20220307,3/7/2022 12:00:00 AM,,-75.5977319681558,38.3479401980817
496,2022,Q1,,6.02,Wicomico,22,,133,Intersection Related,3,Head On Left Turn,2,Dry,2,0,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Not Applicable,0,DE5156001L,Injury Crash,,6.01,20220110,6/23/2023 5:24:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,124,MU,,3.35,South,S,BEAGLIN PARK DR,200,Feet,F,N,2060,MU,,S PARK DR EXT,38.35241,-75.57286,20220110,1/10/2022 12:00:00 AM,,-75.5728607529214,38.3524134277375
497,2022,Q1,Dark Lights On,3,Wicomico,22,,133,Non Intersection,1,Single Vehicle,17,Wet,1,1,No Defects,1,"Two-way, Not Divided",1,Fence,7,DE3196000F,Property Damage Crash,,6.01,20220308,6/23/2023 12:26:00 AM,,No,N,N,SALISBURY,UNK,Fixed Object,9,Not Applicable,0,2095,MU,,0.47,South,S,PARSONS RD,50,Feet,F,S,960,MU,,FITZWATER ST,38.36378,-75.61354,20220308,3/8/2022 12:00:00 AM,,-75.6135387474152,38.3637783789691
498,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection,2,Head On Left Turn,2,Dry,2,1,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE4112000P,Injury Crash,,6.01,20220330,6/23/2023 5:40:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,50,US,BU,3.341,East,E,E SALISBURY PKWY,0,Feet,F,E,775,MU,,N DIVISION ST,38.36655,-75.60007,20220330,3/30/2022 12:00:00 AM,,-75.6000722019705,38.3665549377602
499,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection Related,3,Same Direction Right Turn,8,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE7191006W,Property Damage Crash,,6.01,20220320,6/23/2023 4:20:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,830,MU,,0,North,N,EDGEMORE AVE,0,Feet,F,N,13,US,BU,N SALISBURY BLVD,38.38187,-75.58675,20220320,3/20/2022 12:00:00 AM,,-75.586757397336,38.3818652840557
500,2022,Q1,Dark No Lights,4,Wicomico,22,,133,Non Intersection,1,Same Direction Sideswipe,7,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE2176002L,Property Damage Crash,,6.01,20220331,6/23/2023 10:47:00 PM,,No,N,N,SALISBURY,UNK,Parked Vehicle,2,Parked Vehicle,2,1580,MU,,0.07,West,W,LONDON AVE,100,Feet,F,W,775,MU,,N DIVISION ST,38.3764,-75.594,20220331,3/31/2022 12:00:00 AM,,-75.594005328683,38.3764032749912
501,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection Related,3,Same Direction Rear End Left Turn,5,Wet,1,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE7191006L,Property Damage Crash,,6.01,20220122,6/23/2023 3:00:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,5.47,North,N,N SALISBURY BLVD,250,Feet,F,N,1632,MU,,E MAIN ST,38.36636,-75.59536,20220122,1/22/2022 12:00:00 AM,,-75.5953581887294,38.3663584844566
502,2022,Q1,Daylight,1,Wicomico,22,,133,Non Intersection,1,Other,88,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE1164000G,Property Damage Crash,,6.01,20220307,6/23/2023 8:33:00 AM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,415,MU,,0.25,East,E,E CARROLL ST,250,Feet,F,E,828,MU,,EASTERN SHORE DR,38.36311,-75.59399,20220307,3/7/2022 12:00:00 AM,,-75.5939873341481,38.3631107852346
503,2022,Q1,Daylight,1,Wicomico,22,,133,Non Intersection,1,Other,88,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Building,2,DE21310030,Injury Crash,,6.01,20220316,6/23/2023 10:31:00 AM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Fixed Object,9,2525,MU,,1.1,East,E,S SCHUMAKER DR,1,Feet,F,E,265,CO,,S SCHUMAKER DR (AHEAD),38.34479,-75.56234,20220316,3/16/2022 12:00:00 AM,,-75.562339482681,38.3447904575137
504,2022,Q1,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Single Vehicle,17,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Other Pole,10,DE7191006S,Injury Crash,,6.01,20220301,6/23/2023 9:40:00 PM,,Yes,Y,N,SALISBURY,UNK,Fixed Object,9,Fixed Object,9,2720,MU,,0.67,South,S,TRUITT ST,0,Feet,F,S,520,MU,,E CHURCH ST,38.37226,-75.58439,20220301,3/1/2022 12:00:00 AM,,-75.5843863797276,38.372264315246
505,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection Related,3,Same Direction Rear End,3,Dry,2,2,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE1109003F,Injury Crash,,6.01,20220228,6/23/2023 1:10:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,5.47,North,N,N SALISBURY BLVD,20,Feet,F,N,1632,MU,,E MAIN ST,38.36588,-75.59531,20220228,2/28/2022 12:00:00 AM,,-75.5953071126331,38.3658788706134
506,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE51560023,Injury Crash,,6.01,20220311,6/23/2023 1:11:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,,12.65,North,N,N SALISBURY BLVD,0,Feet,F,N,1897,MU,,E NAYLOR MILL RD,38.40993,-75.56745,20220311,3/11/2022 12:00:00 AM,,-75.5674485159362,38.40992688202
507,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Sideswipe,7,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Building,2,DE2145001G,Injury Crash,,7.01,20220327,6/23/2023 3:32:00 PM,,Yes,Y,N,SALISBURY,UNK,Fixed Object,9,Not Applicable,0,2910,MU,,0.34,North,N,WAVERLY DR,0,Feet,F,N,1710,MU,,MARYLAND AVE,38.35866,-75.6017,20220327,3/27/2022 12:00:00 AM,,-75.6016966833552,38.3586587534987
508,2022,Q1,Dark No Lights,4,Wicomico,22,,133,Intersection,2,Single Vehicle,17,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Sign Support Pole,9,DE4113004L,Property Damage Crash,,6.01,20220201,6/23/2023 6:00:00 AM,,Yes,Y,N,SALISBURY,UNK,Fixed Object,9,Not Applicable,0,1900,MU,,0.06,East,E,NAYLOR ST,0,Feet,F,E,2410,MU,,RIDGEWAY PL,38.37621,-75.5914,20220201,2/1/2022 12:00:00 AM,,-75.5913976688673,38.3762099288452
509,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection Related,3,Same Direction Rear End,3,Dry,2,2,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE5156001W,Injury Crash,,6.01,20220222,6/23/2023 12:03:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Other Vehicle,1,465,MU,,0.12,North,N,CENTRE RD,200,Feet,F,N,13,US,,N SALISBURY BLVD,38.40397,-75.56881,20220222,2/22/2022 12:00:00 AM,,-75.5688070255238,38.4039737046228
510,2022,Q1,Not Applicable,0,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE4168001X,Injury Crash,,6.01,20220302,6/23/2023 6:15:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Other Vehicle,1,2910,MU,,0.29,North,N,WAVERLY DR,0,Feet,F,N,1990,MU,,OHIO AVE,38.35802,-75.60183,20220302,3/2/2022 12:00:00 AM,,-75.6018325070645,38.3580204156098
511,2022,Q1,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Head On Left Turn,2,Dry,2,1,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE31350004,Injury Crash,,6.01,20220214,6/23/2023 8:20:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,50,US,BU,3.166,East,E,W SALISBURY PKWY,0,Feet,F,E,1780,MU,,MILL ST,38.36596,-75.6033,20220214,2/14/2022 12:00:00 AM,,-75.6033013220983,38.365956275262
512,2022,Q1,Daylight,1,Wicomico,22,,133,Non Intersection,1,Other,88,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE1128002D,Property Damage Crash,Not Applicable,0,20220329,6/23/2023 12:58:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,5.27,North,N,S SALISBURY BLVD,300,Feet,F,N,415,MU,,E CARROLL ST,38.36263,-75.59637,20220329,3/29/2022 12:00:00 AM,,-75.5963709944258,38.3626275875931
513,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection,2,Head On Left Turn,2,Dry,2,2,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE4112000M,Injury Crash,,6.01,20220326,6/23/2023 12:15:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,6.73,North,N,N SALISBURY BLVD,0,Feet,F,N,1483,MU,,LIBERTY ST #3,38.3814,-75.5864,20220326,3/26/2022 12:00:00 AM,,-75.5863999761779,38.3813995620402
514,2022,Q1,Dark Lights On,3,Wicomico,22,,133,Intersection Related,3,Single Vehicle,17,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Curb,4,DE7191006Q,Property Damage Crash,Severe Winds,5,20220217,6/23/2023 1:18:00 AM,,No,N,N,SALISBURY,UNK,Fixed Object,9,Not Applicable,0,2523,MU,,0.2,South,S,N SCHUMAKER DR,0,Feet,F,N,835,MU,,EDGEWATER DR,38.35176,-75.56713,20220217,2/17/2022 12:00:00 AM,,-75.5671306217807,38.3517652962315
515,2022,Q1,Dark Lights On,3,Wicomico,22,,133,Intersection Related,3,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE2186007P,Property Damage Crash,,6.01,20220219,6/23/2023 10:39:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,1760,MU,,0.42,East,E,MIDDLE NECK DR,50,Feet,F,W,1880,MU,,MOSS HILL LA,38.38165,-75.57316,20220219,2/19/2022 12:00:00 AM,,-75.5731599249905,38.3816456111561
516,2022,Q1,Daylight,1,Wicomico,22,,133,Non Intersection,1,Same Direction Rear End,3,Dry,2,2,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE11640008,Property Damage Crash,,6.01,20220111,6/23/2023 9:27:00 AM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,6.31,North,N,N SALISBURY BLVD,0,Feet,F,S,2730,MU,,E UNION AVE,38.37703,-75.59127,20220111,1/11/2022 12:00:00 AM,,-75.5912712277849,38.3770335729411
